company_symbol,date,total_revenue,gross_profit,total_expenses,net_income
AAPL,2023-09-30,383285000000.0,169148000000.0,268984000000.0,96995000000.0
AAPL,2022-09-30,394328000000.0,170782000000.0,274891000000.0,99803000000.0
AAPL,2021-09-30,365817000000.0,152836000000.0,256868000000.0,94680000000.0
AAPL,2020-09-30,274515000000.0,104956000000.0,208227000000.0,57411000000.0
