company_symbol,date,total_revenue,gross_profit,total_expenses,net_income
MCD,2022-12-31,23182600000.0,13207200000.0,12838000000.0,6177400000.0
MCD,2021-12-31,23222900000.0,12580200000.0,13350200000.0,7545200000.0
MCD,2020-12-31,19207800000.0,9752100000.0,12001300000.0,4730500000.0
