company_symbol,date,total_revenue,gross_profit,total_expenses,net_income
TSLA,2022-12-31,81462000000.0,20853000000.0,67630000000.0,12583000000.0
TSLA,2021-12-31,53823000000.0,13606000000.0,47327000000.0,5524000000.0
TSLA,2020-12-31,31536000000.0,6630000000.0,29542000000.0,721000000.0
