2022-12-31,2021-12-31,2020-12-31
3164000000.0,3099000000.0,2880000000.0
3164000000.0,3099000000.0,2880000000.0
5748000000.0,8873000000.0,13279000000.0
44111000000.0,28472000000.0,21705000000.0
46749000000.0,35531000000.0,32496000000.0
14208000000.0,7395000000.0,12469000000.0
44111000000.0,28472000000.0,21705000000.0
3703000000.0,3531000000.0,3008000000.0
44704000000.0,30189000000.0,22225000000.0
45733000000.0,34443000000.0,30738000000.0
45898000000.0,31583000000.0,23679000000.0
1194000000.0,1394000000.0,1454000000.0
44704000000.0,30189000000.0,22225000000.0
-361000000.0,54000000.0,363000000.0
-361000000.0,54000000.0,363000000.0
12885000000.0,329000000.0,-5399000000.0
32177000000.0,29803000000.0,27260000000.0
3000000.0,3000000.0,1000000.0
3000000.0,3000000.0,1000000.0
0.0,0.0,0.0
36440000000.0,30548000000.0,28469000000.0
9731000000.0,10843000000.0,14221000000.0
553000000.0,320000000.0,436000000.0
,568000000.0,604000000.0
2480000000.0,1398000000.0,989000000.0
2886000000.0,2076000000.0,1435000000.0
2804000000.0,2052000000.0,1284000000.0
82000000.0,24000000.0,151000000.0
3761000000.0,6916000000.0,10861000000.0
2732000000.0,2662000000.0,2348000000.0
1029000000.0,4254000000.0,8513000000.0
51000000.0,133000000.0,500000000.0
26709000000.0,19705000000.0,14248000000.0
354000000.0,310000000.0,264000000.0
2810000000.0,2372000000.0,2210000000.0
2810000000.0,2372000000.0,2210000000.0
1987000000.0,1957000000.0,2418000000.0
971000000.0,869000000.0,660000000.0
1016000000.0,1088000000.0,1758000000.0
1016000000.0,1088000000.0,1758000000.0
270000000.0,265000000.0,417000000.0
21288000000.0,14801000000.0,8939000000.0
4798000000.0,3654000000.0,2111000000.0
,16000000.0,77000000.0
16490000000.0,11147000000.0,6828000000.0
1235000000.0,1122000000.0,777000000.0
15255000000.0,10025000000.0,6051000000.0
82338000000.0,62131000000.0,52148000000.0
41421000000.0,35031000000.0,25431000000.0
4193000000.0,2138000000.0,1536000000.0
593000000.0,1717000000.0,520000000.0
399000000.0,1517000000.0,313000000.0
194000000.0,200000000.0,207000000.0
36635000000.0,31176000000.0,23375000000.0
-10459000000.0,-7918000000.0,-6072000000.0
47094000000.0,39094000000.0,29447000000.0
2366000000.0,1826000000.0,1421000000.0
4281000000.0,5598000000.0,1694000000.0
5142000000.0,4204000000.0,3369000000.0
20665000000.0,15878000000.0,12440000000.0
7751000000.0,4675000000.0,3662000000.0
6889000000.0,6913000000.0,6861000000.0
40917000000.0,27100000000.0,26717000000.0
2941000000.0,1723000000.0,1346000000.0
,1723000000.0,1346000000.0
12839000000.0,5757000000.0,4101000000.0
842000000.0,575000000.0,434000000.0
3475000000.0,1277000000.0,1666000000.0
2385000000.0,1089000000.0,493000000.0
6137000000.0,2816000000.0,1508000000.0
2952000000.0,1913000000.0,1886000000.0
2952000000.0,1913000000.0,1886000000.0
22185000000.0,17707000000.0,19384000000.0
5932000000.0,131000000.0,0.0
16253000000.0,17576000000.0,19384000000.0
