company_symbol,Date,Open,High,Low,Close,Volume
AAPL,2021-02-01,133.75,135.38,130.93,134.14,106239800
AAPL,2021-02-02,135.73,136.31,134.61,134.99,83305400
AAPL,2021-02-03,135.76,135.77,133.61,133.94,89880900
AAPL,2021-02-04,136.3,137.4,134.59,137.39,84183100
AAPL,2021-02-05,137.35,137.42,135.86,136.76,75693800
AAPL,2021-02-08,136.03,136.96,134.92,136.91,71297200
AAPL,2021-02-09,136.62,137.88,135.85,136.01,76774200
AAPL,2021-02-10,136.48,136.99,134.4,135.39,73046600
AAPL,2021-02-11,135.9,136.39,133.77,135.13,64280000
AAPL,2021-02-12,134.35,135.53,133.69,135.37,60145100
AAPL,2021-02-16,135.49,136.01,132.79,133.19,80576300
AAPL,2021-02-17,131.25,132.22,129.47,130.84,97918500
AAPL,2021-02-18,129.2,130.0,127.41,129.71,96856700
AAPL,2021-02-19,130.24,130.71,128.8,129.87,87668800
AAPL,2021-02-22,128.01,129.72,125.6,126.0,103916400
AAPL,2021-02-23,123.76,126.71,118.39,125.86,158273000
AAPL,2021-02-24,124.94,125.56,122.23,125.35,111039900
AAPL,2021-02-25,124.68,126.46,120.54,120.99,148199500
AAPL,2021-02-26,122.59,124.85,121.2,121.26,164560400
AAPL,2021-03-01,123.75,127.93,122.79,127.79,116307900
AAPL,2021-03-02,128.41,128.72,125.01,125.12,102260900
AAPL,2021-03-03,124.81,125.71,121.84,122.06,112966300
AAPL,2021-03-04,121.75,123.6,118.62,120.13,178155000
AAPL,2021-03-05,120.98,121.94,117.57,121.42,153766600
AAPL,2021-03-08,120.93,121.0,116.21,116.36,154376600
AAPL,2021-03-09,119.03,122.06,118.79,121.09,129525800
AAPL,2021-03-10,121.69,122.17,119.45,119.98,111943300
AAPL,2021-03-11,122.54,123.21,121.26,121.96,103026500
AAPL,2021-03-12,120.4,121.17,119.16,121.03,88105100
AAPL,2021-03-15,121.41,124.0,120.42,123.99,92403800
AAPL,2021-03-16,125.7,127.22,124.72,125.57,115227900
AAPL,2021-03-17,124.05,125.86,122.34,124.76,111932600
AAPL,2021-03-18,122.88,123.18,120.32,120.53,121229700
AAPL,2021-03-19,119.9,121.43,119.68,119.99,185549500
AAPL,2021-03-22,120.33,123.87,120.26,123.39,111912300
AAPL,2021-03-23,123.33,124.24,122.14,122.54,95467100
AAPL,2021-03-24,122.82,122.9,120.07,120.09,88530500
AAPL,2021-03-25,119.54,121.66,119.0,120.59,98844700
AAPL,2021-03-26,120.35,121.48,118.92,121.21,94071200
AAPL,2021-03-29,121.65,122.58,120.73,121.39,80819200
AAPL,2021-03-30,120.11,120.4,118.86,119.9,85671900
AAPL,2021-03-31,121.65,123.52,121.15,122.15,118323800
AAPL,2021-04-01,123.66,124.18,122.49,123.0,75089100
AAPL,2021-04-05,123.87,126.16,123.07,125.9,88651200
AAPL,2021-04-06,126.5,127.13,125.65,126.21,80171300
AAPL,2021-04-07,125.83,127.92,125.14,127.9,83466700
AAPL,2021-04-08,128.95,130.39,128.52,130.36,88844600
AAPL,2021-04-09,129.8,133.04,129.47,133.0,106686700
AAPL,2021-04-12,132.52,132.85,130.63,131.24,91420000
