company_symbol,Date,Open,High,Low,Close,Volume
MCD,2021-02-01,208.48,209.69,206.6,207.93,2812500
MCD,2021-02-02,208.09,212.63,207.65,209.76,2786000
MCD,2021-02-03,208.35,209.99,207.93,208.71,3020700
MCD,2021-02-04,210.0,212.11,208.67,211.03,2777500
MCD,2021-02-05,212.59,214.18,212.01,212.58,2600200
MCD,2021-02-08,212.53,212.99,209.96,211.58,2696200
MCD,2021-02-09,212.07,216.18,211.77,215.98,3047300
MCD,2021-02-10,216.88,217.31,213.81,214.4,3161600
MCD,2021-02-11,214.54,214.8,212.4,214.27,2583600
MCD,2021-02-12,214.0,214.7,212.99,213.9,2781200
MCD,2021-02-16,214.37,216.94,213.83,215.03,2892900
MCD,2021-02-17,213.96,214.89,212.63,213.45,3280000
MCD,2021-02-18,213.29,215.86,212.65,215.43,2191000
MCD,2021-02-19,215.29,215.73,211.97,212.24,3181600
MCD,2021-02-22,211.5,213.0,209.69,212.06,2910800
MCD,2021-02-23,214.5,215.7,210.43,211.32,3243000
MCD,2021-02-24,210.84,214.1,210.42,213.27,2887100
MCD,2021-02-25,212.7,212.92,209.74,210.95,3131400
MCD,2021-02-26,210.75,211.64,206.14,206.14,5334000
MCD,2021-03-01,207.35,210.38,207.35,208.25,2827500
MCD,2021-03-02,208.0,209.9,206.19,208.67,3016600
MCD,2021-03-03,207.52,208.99,205.61,205.82,3488600
MCD,2021-03-04,206.16,207.49,202.73,204.84,3926200
MCD,2021-03-05,205.75,208.23,202.96,207.37,3608100
MCD,2021-03-08,207.7,210.59,207.14,209.11,3157100
MCD,2021-03-09,210.63,211.2,208.28,208.55,3646700
MCD,2021-03-10,208.72,213.63,208.24,213.31,3447200
MCD,2021-03-11,214.7,215.23,211.49,211.57,3618000
MCD,2021-03-12,212.04,214.24,211.42,212.34,2818200
MCD,2021-03-15,213.65,220.55,213.5,220.46,5479700
MCD,2021-03-16,219.58,221.3,217.16,219.86,3583400
MCD,2021-03-17,224.56,224.9,220.01,224.11,5240600
MCD,2021-03-18,223.68,225.35,221.41,222.9,3254600
MCD,2021-03-19,222.76,225.18,221.0,222.44,7719400
MCD,2021-03-22,223.39,226.91,222.65,225.07,4220700
MCD,2021-03-23,223.96,226.4,223.75,224.37,2794000
MCD,2021-03-24,225.32,227.02,224.04,224.05,2442500
MCD,2021-03-25,225.15,225.32,222.44,224.2,3249600
MCD,2021-03-26,224.2,225.28,222.42,225.21,3263100
MCD,2021-03-29,224.83,227.88,224.3,227.35,3621300
MCD,2021-03-30,226.13,227.02,224.22,224.98,2419000
MCD,2021-03-31,224.01,226.49,224.0,224.14,3564100
MCD,2021-04-01,224.67,226.22,223.28,225.21,2441200
MCD,2021-04-05,226.6,229.5,226.19,228.85,2866300
MCD,2021-04-06,229.71,232.27,228.72,231.91,3230900
MCD,2021-04-07,231.68,232.81,231.24,232.61,2551300
MCD,2021-04-08,232.61,232.8,229.2,230.25,2772200
MCD,2021-04-09,230.19,231.61,228.87,231.48,2728900
MCD,2021-04-12,231.48,232.38,230.49,230.96,2292700
MCD,2021-04-13,230.44,231.66,229.69,231.32,2570900
MCD,2021-04-14,231.22,231.29,229.59,230.31,2129200
MCD,2021-04-15,229.81,231.36,229.2,231.28,2063000
MCD,2021-04-16,233.65,234.26,232.31,233.08,2694300
MCD,2021-04-19,233.12,233.3,230.83,231.81,2254800
MCD,2021-04-20,231.24,233.21,231.08,233.01,1885700
MCD,2021-04-21,233.3,233.86,231.85,232.26,2065500
MCD,2021-04-22,232.83,234.04,231.94,232.96,1839500
MCD,2021-04-23,233.79,235.24,233.1,234.58,2137500
MCD,2021-04-26,234.78,235.35,231.91,232.31,2490100
MCD,2021-04-27,232.57,235.63,232.41,234.98,2623800
MCD,2021-04-28,235.2,235.45,232.26,232.41,2777000
MCD,2021-04-29,233.99,235.8,232.62,235.21,3146700
MCD,2021-04-30,234.0,236.29,233.87,236.08,2640400
MCD,2021-05-03,237.99,238.18,235.38,235.56,2458000
MCD,2021-05-04,234.63,236.13,233.24,233.86,2529700
MCD,2021-05-05,234.12,235.35,231.56,235.04,2070000
MCD,2021-05-06,235.54,235.65,233.17,234.86,1832600
MCD,2021-05-07,235.0,235.72,233.99,234.84,1406800
MCD,2021-05-10,235.1,237.92,235.1,237.11,2031500
MCD,2021-05-11,237.74,237.8,232.2,233.86,3028500
MCD,2021-05-12,232.11,233.57,227.57,227.94,3198200
MCD,2021-05-13,228.0,231.08,227.88,229.77,2819200
MCD,2021-05-14,230.71,232.64,230.47,231.72,1943100
MCD,2021-05-17,230.81,232.3,230.25,231.68,1630900
MCD,2021-05-18,231.89,233.25,231.65,231.93,2913000
MCD,2021-05-19,230.23,230.62,228.18,230.15,2967000
MCD,2021-05-20,230.72,234.02,230.56,232.18,1890200
MCD,2021-05-21,232.42,233.4,230.31,231.24,2601100
MCD,2021-05-24,231.52,232.65,231.02,231.91,1823300
MCD,2021-05-25,232.17,232.77,230.71,232.14,2681900
MCD,2021-05-26,233.79,233.79,232.16,232.35,1564200
MCD,2021-05-27,233.01,235.08,232.4,234.86,5242900
MCD,2021-05-28,234.13,234.41,232.45,233.89,2853600
MCD,2021-06-01,235.98,235.99,232.74,233.24,2574300
MCD,2021-06-02,233.97,234.33,232.81,233.78,3172000
MCD,2021-06-03,232.57,232.76,230.15,232.45,3249400
MCD,2021-06-04,233.44,233.8,232.07,233.38,1615200
MCD,2021-06-07,234.0,234.07,231.16,231.69,1877000
MCD,2021-06-08,231.5,233.98,231.34,232.64,2106200
MCD,2021-06-09,232.98,234.32,231.45,231.47,1982200
MCD,2021-06-10,232.05,234.9,231.93,234.59,2534000
MCD,2021-06-11,235.0,237.5,234.71,236.93,2654300
MCD,2021-06-14,237.18,237.77,234.81,236.98,1836800
MCD,2021-06-15,237.53,237.81,235.66,236.35,1948300
MCD,2021-06-16,237.21,237.28,233.78,235.58,2951700
MCD,2021-06-17,235.08,236.27,233.28,233.88,1895600
MCD,2021-06-18,231.47,232.89,228.82,229.62,4408200
MCD,2021-06-21,230.63,233.23,229.47,232.9,2193000
MCD,2021-06-22,233.49,234.86,232.43,233.88,1758300
MCD,2021-06-23,233.3,234.45,232.7,233.24,1701500
MCD,2021-06-24,234.1,235.16,232.74,233.33,1839800
MCD,2021-06-25,232.74,233.41,232.34,232.42,3000100
MCD,2021-06-28,232.67,232.75,230.01,231.09,2901700
MCD,2021-06-29,231.53,231.71,230.05,230.37,1932100
MCD,2021-06-30,230.92,232.25,230.6,230.99,2450700
MCD,2021-07-01,231.41,232.4,230.75,232.27,2210500
MCD,2021-07-02,233.08,234.11,232.44,233.63,1851500
MCD,2021-07-06,233.66,233.9,231.0,232.75,1762700
MCD,2021-07-07,231.92,234.99,231.72,234.63,2069400
MCD,2021-07-08,232.95,233.83,231.94,232.84,1932600
MCD,2021-07-09,234.07,236.23,233.06,235.68,2560500
MCD,2021-07-12,234.59,236.24,234.5,235.61,2158600
MCD,2021-07-13,235.66,237.47,235.2,236.17,1884600
MCD,2021-07-14,237.03,239.05,236.64,237.13,1993200
MCD,2021-07-15,236.59,237.39,234.92,236.88,2165800
MCD,2021-07-16,237.79,237.88,234.38,234.75,1680900
MCD,2021-07-19,232.51,233.32,226.42,229.26,3774900
MCD,2021-07-20,230.65,235.52,230.21,234.27,3275600
MCD,2021-07-21,235.98,238.11,235.22,235.93,2146600
MCD,2021-07-22,235.65,239.69,235.16,238.67,2538300
MCD,2021-07-23,240.13,245.05,239.6,242.96,3996400
MCD,2021-07-26,242.0,244.57,241.6,243.98,2638400
MCD,2021-07-27,244.17,247.05,244.06,246.35,3135200
MCD,2021-07-28,242.5,243.8,239.35,241.78,4948500
MCD,2021-07-29,243.32,245.2,242.98,244.02,2572300
MCD,2021-07-30,243.85,245.41,242.21,242.71,2336800
MCD,2021-08-02,244.24,244.68,239.69,240.1,2693900
MCD,2021-08-03,239.56,239.95,235.25,236.95,3300000
MCD,2021-08-04,236.45,236.6,233.05,234.83,2240600
MCD,2021-08-05,235.74,236.81,234.34,236.42,2230500
MCD,2021-08-06,236.68,237.14,235.67,236.26,1558600
MCD,2021-08-09,235.79,236.07,234.03,234.68,2093100
MCD,2021-08-10,235.1,235.1,233.24,233.45,2027500
MCD,2021-08-11,234.19,235.94,233.75,235.55,1969100
MCD,2021-08-12,236.0,236.76,235.05,236.67,1490800
MCD,2021-08-13,236.79,239.0,236.27,238.82,1699700
MCD,2021-08-16,239.0,241.05,238.56,240.97,2175300
MCD,2021-08-17,240.35,240.84,238.21,240.28,1652000
MCD,2021-08-18,239.44,239.76,237.78,238.08,2215500
MCD,2021-08-19,236.68,238.12,236.07,237.23,1455400
MCD,2021-08-20,236.96,239.39,236.32,238.49,1989700
MCD,2021-08-23,239.46,240.07,237.99,239.66,2086900
MCD,2021-08-24,240.39,240.39,238.32,238.43,1687700
MCD,2021-08-25,237.93,239.6,237.84,238.83,1668000
MCD,2021-08-26,238.79,238.92,235.92,236.95,2008000
MCD,2021-08-27,237.43,238.37,236.37,237.48,1784000
MCD,2021-08-30,237.34,237.76,235.86,236.59,2245600
MCD,2021-08-31,235.75,237.73,234.67,237.46,2938100
MCD,2021-09-01,237.88,239.04,237.21,238.15,2197100
MCD,2021-09-02,239.2,239.95,238.38,239.87,2140200
MCD,2021-09-03,238.39,239.65,237.51,238.82,1339300
MCD,2021-09-07,238.61,238.61,235.95,236.19,1820000
MCD,2021-09-08,236.8,239.46,236.0,238.62,2718400
MCD,2021-09-09,238.42,241.43,237.77,238.61,2992200
MCD,2021-09-10,240.32,241.32,239.04,239.18,2035200
MCD,2021-09-13,240.83,241.8,239.84,241.21,2294800
MCD,2021-09-14,241.73,242.25,239.5,241.13,2013800
MCD,2021-09-15,240.47,241.27,238.18,240.98,2507200
MCD,2021-09-16,240.29,243.59,239.95,243.21,3410700
MCD,2021-09-17,243.84,244.63,241.88,242.49,4756600
MCD,2021-09-20,239.88,241.96,236.64,239.09,4549900
MCD,2021-09-21,240.0,242.35,239.4,240.5,2008300
MCD,2021-09-22,241.8,245.86,241.47,243.13,3361900
MCD,2021-09-23,243.74,245.95,243.53,244.78,2941700
MCD,2021-09-24,246.64,247.38,245.24,246.42,2508800
MCD,2021-09-27,246.0,248.9,245.28,248.11,2463300
MCD,2021-09-28,247.29,247.71,242.91,243.77,3007500
MCD,2021-09-29,244.38,245.71,243.15,244.28,1719000
MCD,2021-09-30,244.77,245.42,240.82,241.11,3136800
MCD,2021-10-01,243.07,244.69,240.25,242.93,2076000
MCD,2021-10-04,242.06,244.81,241.86,243.08,2236500
MCD,2021-10-05,243.97,246.88,243.01,245.22,2463100
MCD,2021-10-06,244.56,247.16,243.02,247.1,2107900
MCD,2021-10-07,248.0,249.95,247.68,248.32,2423900
MCD,2021-10-08,249.25,249.63,247.11,247.7,1687500
MCD,2021-10-11,248.1,249.14,246.45,246.58,1504000
MCD,2021-10-12,247.73,248.6,244.18,244.52,2346700
MCD,2021-10-13,243.27,243.87,239.9,242.65,3214300
MCD,2021-10-14,242.88,245.42,242.04,244.55,2512000
MCD,2021-10-15,245.24,246.38,241.99,242.25,2564700
MCD,2021-10-18,242.42,243.45,241.13,242.26,2484900
MCD,2021-10-19,243.22,243.93,241.53,242.77,2071600
MCD,2021-10-20,240.4,242.65,239.29,239.72,3040200
MCD,2021-10-21,240.17,241.91,239.31,241.4,2702400
MCD,2021-10-22,240.71,242.24,238.0,238.44,3283700
MCD,2021-10-25,239.23,239.25,236.5,237.34,3178400
MCD,2021-10-26,237.47,238.4,236.14,236.42,3066400
MCD,2021-10-27,241.05,244.62,238.85,242.73,5249400
MCD,2021-10-28,243.4,246.08,242.53,245.5,3448500
MCD,2021-10-29,243.0,246.09,242.47,245.55,4329400
MCD,2021-11-01,245.8,251.69,245.34,250.58,4456200
MCD,2021-11-02,251.76,252.22,248.16,249.24,2624300
MCD,2021-11-03,247.99,251.13,247.91,250.4,2399000
MCD,2021-11-04,251.12,254.18,250.2,253.46,2711000
MCD,2021-11-05,254.69,257.53,254.62,254.71,3224300
MCD,2021-11-08,254.78,255.65,251.93,253.1,2471300
MCD,2021-11-09,252.91,253.69,250.45,252.65,2258900
MCD,2021-11-10,250.81,253.72,250.81,253.13,1794300
MCD,2021-11-11,253.33,253.33,249.26,250.16,1640500
MCD,2021-11-12,250.15,251.01,248.89,250.67,1625200
MCD,2021-11-15,250.67,253.76,250.67,252.94,1709200
MCD,2021-11-16,253.5,254.19,252.38,252.46,2195500
MCD,2021-11-17,252.41,253.34,250.52,252.69,1412000
MCD,2021-11-18,253.16,253.49,251.08,253.48,1751200
MCD,2021-11-19,253.29,253.32,250.23,251.95,2743100
MCD,2021-11-22,252.67,255.45,252.21,253.48,2438700
MCD,2021-11-23,254.81,255.79,253.05,255.65,2770000
MCD,2021-11-24,254.5,257.79,254.05,257.11,2642800
MCD,2021-11-26,252.51,253.16,248.27,250.01,2573300
MCD,2021-11-29,251.85,252.32,249.83,250.3,2084600
MCD,2021-11-30,247.38,247.9,243.95,244.6,3836100
MCD,2021-12-01,245.76,250.9,244.11,244.18,3275300
MCD,2021-12-02,245.66,250.34,245.0,248.8,3290500
MCD,2021-12-03,250.32,250.68,247.57,249.33,3229900
MCD,2021-12-06,252.4,256.93,252.37,255.79,3616800
MCD,2021-12-07,256.95,260.38,256.45,259.91,2596200
MCD,2021-12-08,260.0,262.81,259.09,259.58,3453100
MCD,2021-12-09,259.5,263.1,258.36,262.34,2955100
MCD,2021-12-10,263.88,265.27,262.43,264.97,2529600
MCD,2021-12-13,264.22,265.86,262.4,263.09,2878800
MCD,2021-12-14,263.0,263.59,261.75,262.52,3695500
MCD,2021-12-15,262.16,265.67,261.41,264.52,2641800
MCD,2021-12-16,265.56,266.89,264.09,265.55,2347700
MCD,2021-12-17,264.0,264.85,260.88,261.7,5943200
MCD,2021-12-20,259.63,261.96,258.43,261.73,2824500
MCD,2021-12-21,264.29,266.48,263.42,264.39,2851800
MCD,2021-12-22,264.32,265.44,264.07,264.94,1795100
MCD,2021-12-23,265.92,267.37,265.45,265.95,1509800
MCD,2021-12-27,266.47,268.26,266.0,268.24,1485500
MCD,2021-12-28,267.58,269.22,267.25,267.88,1304000
MCD,2021-12-29,268.45,269.72,267.95,268.49,1318500
MCD,2021-12-30,269.0,269.26,266.7,267.21,1714600
MCD,2021-12-31,268.0,269.12,267.21,268.07,1519200
MCD,2022-01-03,269.49,270.73,265.56,268.58,2750600
MCD,2022-01-04,269.5,271.15,268.27,268.51,2506000
MCD,2022-01-05,269.3,270.28,266.9,267.19,2473000
MCD,2022-01-06,268.12,270.76,267.8,269.69,2908400
MCD,2022-01-07,268.56,270.17,267.0,267.06,2209100
MCD,2022-01-10,266.71,266.72,262.01,264.41,3122400
MCD,2022-01-11,263.49,263.95,260.32,262.12,3206200
MCD,2022-01-12,263.37,263.95,260.28,260.92,3044000
MCD,2022-01-13,261.41,263.85,260.59,261.41,2371300
MCD,2022-01-14,261.14,261.24,257.16,257.71,3460100
MCD,2022-01-18,256.96,257.1,254.31,256.48,3076500
MCD,2022-01-19,257.55,257.95,255.08,255.22,2304700
MCD,2022-01-20,256.62,258.11,252.9,253.13,2602200
MCD,2022-01-21,254.04,258.46,253.69,254.59,3738100
MCD,2022-01-24,252.38,253.92,247.78,253.61,5153100
MCD,2022-01-25,250.83,252.53,247.07,250.68,3908600
MCD,2022-01-26,253.0,254.21,247.86,249.85,3839000
MCD,2022-01-27,249.6,252.46,245.25,248.74,5199000
MCD,2022-01-28,250.0,256.35,247.16,256.09,3833200
MCD,2022-01-31,255.02,259.5,254.44,259.45,3174200
MCD,2022-02-01,259.75,259.9,255.58,258.99,2496500
MCD,2022-02-02,258.83,262.61,258.49,262.28,2371500
MCD,2022-02-03,262.0,262.8,260.07,260.64,2242200
MCD,2022-02-04,259.87,261.73,257.79,260.06,1989700
MCD,2022-02-07,261.0,261.58,259.17,259.85,1959300
MCD,2022-02-08,260.5,262.38,259.1,260.08,2920000
MCD,2022-02-09,261.99,262.88,259.41,259.86,2379300
MCD,2022-02-10,258.6,260.44,255.97,256.87,3246600
MCD,2022-02-11,256.87,258.76,254.73,255.16,3592700
MCD,2022-02-14,255.91,256.25,251.68,253.39,2825800
MCD,2022-02-15,254.82,256.92,253.56,253.81,2171500
MCD,2022-02-16,253.77,254.6,251.2,253.09,2941800
MCD,2022-02-17,251.48,252.88,250.0,250.93,2831900
MCD,2022-02-18,250.34,252.29,250.01,250.6,2813500
MCD,2022-02-22,250.01,254.7,249.6,252.7,3980500
MCD,2022-02-23,253.53,253.85,247.08,247.79,3497200
MCD,2022-02-24,242.93,245.58,239.61,245.03,4856000
MCD,2022-02-25,246.0,249.53,243.63,249.45,4549700
MCD,2022-02-28,244.44,245.72,242.36,244.77,4410400
MCD,2022-03-01,242.3,243.6,238.3,239.63,3910700
MCD,2022-03-02,240.85,242.74,239.61,240.94,4482000
MCD,2022-03-03,241.01,242.34,235.68,236.65,4707400
MCD,2022-03-04,234.62,236.39,231.64,235.81,4184100
MCD,2022-03-07,234.31,234.31,224.19,224.33,5425000
MCD,2022-03-08,224.33,229.74,222.2,222.79,5258800
MCD,2022-03-09,226.79,227.25,222.01,222.47,5630500
MCD,2022-03-10,220.2,222.05,217.68,222.0,5444900
MCD,2022-03-11,224.74,229.11,224.2,226.87,6126300
