2020-01-31,2020-09-30,2020-12-31,2021-01-31,2021-09-30,2021-12-31,2022-01-31,2022-09-30,2022-12-31,2023-01-31,2023-09-30
,,4730500000.0,,,7545200000.0,,,6177400000.0,,
,,4730500000.0,,,7545200000.0,,,6177400000.0,,
,,4730500000.0,,,7545200000.0,,,6177400000.0,,
,,4730500000.0,,,7545200000.0,,,6177400000.0,,
,,4730500000.0,,,7545200000.0,,,6177400000.0,,
,,1410200000.0,,,1582700000.0,,,1648000000.0,,
,,6140700000.0,,,9127900000.0,,,7825400000.0,,
,,134500000.0,,,432300000.0,,,-1356600000.0,,
,,14000000.0,,,-14000000.0,,,-517000000.0,,
,,100000.0,,,306600000.0,,,-1086800000.0,,
,,-290700000.0,,,-75400000.0,,,-136800000.0,,
,,23300000.0,,,96600000.0,,,59800000.0,,
,,-267500000.0,,,-285400000.0,,,1009800000.0,,
,,-267500000.0,,,,,,,,
,,117400000.0,,,176700000.0,,,113200000.0,,
,,3000000.0,,,-37000000.0,,,134000000.0,,
,,-1200100000.0,,,-1176800000.0,,,-1163000000.0,,
,,1218100000.0,,,1185800000.0,,,1207000000.0,,
,,18000000.0,,,9000000.0,,,44000000.0,,
,,7206500000.0,,,9872700000.0,,,10344600000.0,,
,,2545600000.0,,,2707500000.0,,,2862600000.0,,
,,300600000.0,,,329700000.0,,,370400000.0,,
,,300600000.0,,,329700000.0,,,370400000.0,,
,,2245000000.0,,,2377800000.0,,,2492200000.0,,
,,9752100000.0,,,12580200000.0,,,13207200000.0,,
,,9455700000.0,,,10642700000.0,,,9975400000.0,,
,,19207800000.0,,,23222900000.0,,,23182600000.0,,
,,18865300000.0,,,22872800000.0,,,22854200000.0,,
0.0,,,0.0,,,0.0,,,0.0,
0.236,,,0.242,,,0.244,,,0.239,
18212000000.0,,,20844000000.0,,,25946000000.0,,,27069000000.0,
0.0,,,0.0,,,,,,,
0.0,,,0.0,,,,,,,
11242000000.0,,,12866000000.0,,,16433000000.0,,,17105000000.0,
2296000000.0,,,2519000000.0,,,2862000000.0,,,2975000000.0,
72346000000.0,,,86866000000.0,,,99849000000.0,,,104105000000.0,
18212000000.0,,,20844000000.0,,,25946000000.0,,,27069000000.0,
15916000000.0,,,18325000000.0,,,23084000000.0,,,24094000000.0,
-1128000000.0,,,-1300000000.0,,,-1303000000.0,,,-1562000000.0,
1201000000.0,,,1347000000.0,,,1347000000.0,,,1617000000.0,
73000000.0,,,47000000.0,,,44000000.0,,,55000000.0,
11242000000.0,,,12866000000.0,,,16433000000.0,,,17105000000.0,
11242000000.0,,,12866000000.0,,,16433000000.0,,,17105000000.0,
94382000000.0,,,113832000000.0,,,128117000000.0,,,133364000000.0,
15843000000.0,,,18278000000.0,,,23040000000.0,,,24039000000.0,
1097000000.0,,,1078000000.0,,,1058000000.0,,,1025000000.0,
1093000000.0,,,1074000000.0,,,1054000000.0,,,1022000000.0,
10.25,,,11.94,,,15.53,,,16.69,
10.29,,,11.98,,,15.59,,,16.74,
11242000000.0,,,12866000000.0,,,16433000000.0,,,17105000000.0,
11242000000.0,,,12866000000.0,,,16433000000.0,,,17105000000.0,
11242000000.0,,,12866000000.0,,,16433000000.0,,,17105000000.0,
11242000000.0,,,12866000000.0,,,16433000000.0,,,17105000000.0,
11242000000.0,,,12866000000.0,,,16433000000.0,,,17105000000.0,
3473000000.0,,,4112000000.0,,,5304000000.0,,,5372000000.0,
14715000000.0,,,16978000000.0,,,21737000000.0,,,22477000000.0,
0.0,,,0.0,,,,,,,
0.0,,,0.0,,,,,,,
-1128000000.0,,,-1300000000.0,,,-1303000000.0,,,-1562000000.0,
1201000000.0,,,1347000000.0,,,1347000000.0,,,1617000000.0,
73000000.0,,,47000000.0,,,44000000.0,,,55000000.0,
15843000000.0,,,18278000000.0,,,23040000000.0,,,24039000000.0,
21729000000.0,,,26575000000.0,,,27792000000.0,,,28739000000.0,
1989000000.0,,,2128000000.0,,,2386000000.0,,,2455000000.0,
1989000000.0,,,2128000000.0,,,2386000000.0,,,2455000000.0,
19740000000.0,,,24447000000.0,,,25406000000.0,,,26284000000.0,
37572000000.0,,,44853000000.0,,,50832000000.0,,,52778000000.0,
72653000000.0,,,87257000000.0,,,100325000000.0,,,104625000000.0,
110225000000.0,,,132110000000.0,,,151157000000.0,,,157403000000.0,
110225000000.0,,,132110000000.0,,,151157000000.0,,,157403000000.0,
